Country Name,Country Code,Indicator Name,Indicator Code,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Rep.",COG,Individuals using the Internet (% of population),IT.NET.USER.ZS,1.46342006,2.007990079,2.759704374,4.287509903,4.5,5,5.6,6.106695024,6.6,7.11,7.615974662,8.121949323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,COL,Individuals using the Internet (% of population),IT.NET.USER.ZS,11.00726389,15.34167454,21.8,25.6,30,36.5,40.35091575,48.98,51.7,52.57,55.90497251,58.13649357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comoros,COM,Individuals using the Internet (% of population),IT.NET.USER.ZS,2,2.2,2.5,3,3.5,5.1,5.5,5.975296308,6.5,6.98,7.459161386,7.938322771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde,CPV,Individuals using the Internet (% of population),IT.NET.USER.ZS,6.074087107,6.808911008,8.28321982,14,21,30,32,34.74,37.5,40.26,47.96162392,50.32281787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,CRI,Individuals using the Internet (% of population),IT.NET.USER.ZS,22.07,25.1,28.4,32.29,34.33,36.5,39.212196,47.5,45.96,53,59.76295014,66.02871285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caribbean small states,CSS,Individuals using the Internet (% of population),IT.NET.USER.ZS,19.42528189,22.29393357,24.50228747,27.67452832,31.7555303,35.40769011,42.18432319,42.55248247,45.33528704,48.33091393,50.89816485,53.80998892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,CUB,Individuals using the Internet (% of population),IT.NET.USER.ZS,9.738062208,11.15960131,11.69,12.94,14.33,15.9,16.0172908,21.2,27.93,29.07018437,37.30509742,38.76586728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curacao,CUW,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,61.85551074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,Individuals using the Internet (% of population),IT.NET.USER.ZS,38.03438308,44.5,52,61,64.5,66,69.46594499,69.7,71.4,74.1,77,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,Individuals using the Internet (% of population),IT.NET.USER.ZS,32.81,35.83,40.77,42.31,49.81,52.99,56.85989235,60.6898684,65.4548,69.33,71.7159,75.90036019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,CZE,Individuals using the Internet (% of population),IT.NET.USER.ZS,35.27,47.93,51.93,62.97,64.43,68.82,70.49,73.43000782,74.1104,74.23171164,75.6688387,76.48120138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,DEU,Individuals using the Internet (% of population),IT.NET.USER.ZS,68.71,72.16,75.16,78,79,82,81.26999954,82.34999847,84.17,86.19,87.5898,89.64710059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,DJI,Individuals using the Internet (% of population),IT.NET.USER.ZS,0.953611449,1.270041159,1.62,2.26,4,6.5,7,8.267232892,9.5,10.71,11.92243143,13.13491511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,DMA,Individuals using the Internet (% of population),IT.NET.USER.ZS,38.54364326,39.3981743,40.27446301,41.16,42.02,47.45,48.6,49.8,51,57.5,65,67.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,DNK,Individuals using the Internet (% of population),IT.NET.USER.ZS,82.74,86.65,85.03,85.02,86.84,88.72,89.81001339,92.26001172,94.6297,95.99,96.3305,96.96778525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,DOM,Individuals using the Internet (% of population),IT.NET.USER.ZS,11.48319778,14.84492837,17.66,20.82,27.72,31.4,38,42.32,45.9,49.58,54.21576634,61.32819041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,Individuals using the Internet (% of population),IT.NET.USER.ZS,5.843942092,7.375984956,9.451190626,10.18,11.23,12.5,14.9,18.2,22.5,29.5,38.2,42.94552688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific (excluding high income),EAP,Individuals using the Internet (% of population),IT.NET.USER.ZS,8.314027195,10.1685372,14.37880641,19.25844061,23.76631254,28.95748204,32.38221654,36.0611003,39.69640372,42.04640158,45.21308093,48.41612752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Early-demographic dividend,EAR,Individuals using the Internet (% of population),IT.NET.USER.ZS,4.883553318,5.766603269,7.332921825,8.498743247,9.697857644,12.83542505,15.47625009,18.12974564,20.9688841,25.51609001,30.32361202,33.59568702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,EAS,Individuals using the Internet (% of population),IT.NET.USER.ZS,14.71964172,16.66954807,20.81549299,25.29951011,29.55359909,34.26979968,37.39843934,40.73753184,44.60383606,46.83664185,49.82974621,52.93204532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia (excluding high income),ECA,Individuals using the Internet (% of population),IT.NET.USER.ZS,12.65031657,15.2106156,20.54829845,24.05103145,27.64908781,35.80042989,40.70194575,48.93830624,52.89970148,56.96600095,60.16708282,62.45498633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia,ECS,Individuals using the Internet (% of population),IT.NET.USER.ZS,35.14667558,38.01534504,43.61616867,47.31843651,50.54062025,56.09402548,58.81028076,63.60314941,66.32368116,68.99720789,71.13231551,73.35452373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,ECU,Individuals using the Internet (% of population),IT.NET.USER.ZS,5.994255161,7.2,10.8,18.8,24.6,29.03,31.36680836,35.13514645,40.27912194,45.59039067,48.94043379,54.06292473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Egypt, Arab Rep.",EGY,Individuals using the Internet (% of population),IT.NET.USER.ZS,12.75,13.66,16.03,18.01,20,21.6,25.6,26.4,29.4,33.89460391,37.81938343,41.24806709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euro area,EMU,Individuals using the Internet (% of population),IT.NET.USER.ZS,51.11733864,54.80103474,61.25825566,64.73270437,67.04301592,70.96600478,71.9737843,74.09820222,75.85276951,77.11958965,78.79553646,80.5799712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,ERI,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,0.41,0.47,0.54,0.61,0.7,0.8,0.9,0.99,1.083733116,1.17711872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,ESP,Individuals using the Internet (% of population),IT.NET.USER.ZS,47.88,50.37,55.11,59.6,62.4,65.8,67.08999939,69.80999994,71.635,76.19,78.6896,80.56133294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,EST,Individuals using the Internet (% of population),IT.NET.USER.ZS,61.45,63.51,66.19,70.58,72.5,74.1,76.5,78.38992593,80.0043,84.24152803,88.4118116,87.23733209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethiopia,ETH,Individuals using the Internet (% of population),IT.NET.USER.ZS,0.219659819,0.310592657,0.37,0.45,0.54,0.75,1.1,2.9,4.6,7.7,13.85517556,15.36692386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European Union,EUU,Individuals using the Internet (% of population),IT.NET.USER.ZS,50.92456035,54.5192848,60.29466552,64.21764313,67.27798828,70.71315032,71.63025008,73.83414009,75.686771,77.31226509,78.63617205,80.94242766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fragile and conflict affected situations,FCS,Individuals using the Internet (% of population),IT.NET.USER.ZS,1.483175691,1.888441829,2.946518472,2.986868287,3.864390183,5.971161397,6.800789804,8.39397884,10.21318131,12.29905594,15.31669714,17.31108319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,FIN,Individuals using the Internet (% of population),IT.NET.USER.ZS,74.48,79.66,80.78,83.67,82.49,86.89,88.70999491,89.87999797,91.5144,86.53039275,86.42213333,87.70364996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,FJI,Individuals using the Internet (% of population),IT.NET.USER.ZS,8.453636634,9.6000384,10.89783105,13,17,20,28,33.74235675,35.2,37.4,42.5,46.50697831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,FRA,Individuals using the Internet (% of population),IT.NET.USER.ZS,42.87,46.87,66.09,70.68,71.58,77.28,77.81999899,81.44,81.9198,83.75,84.6945,85.62219995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faroe Islands,FRO,Individuals using the Internet (% of population),IT.NET.USER.ZS,67.90263174,69.35944512,75.98,75.57,75.18,75.2,80.7321728,85.33518924,90,93.3,94.2,95.10868167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,Individuals using the Internet (% of population),IT.NET.USER.ZS,11.8813691,12.75033925,13.62113273,14.49,15.35,20,22.8,25.974423,27.8,29.65,31.50108128,33.35216255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,GAB,Individuals using the Internet (% of population),IT.NET.USER.ZS,4.89326475,5.489200803,5.767004576,7.5,9.5,13,18,24,30.53803344,38.07120929,45.78453653,48.05227375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,GBR,Individuals using the Internet (% of population),IT.NET.USER.ZS,70,68.82,75.09,78.39,83.56,85,85.37999855,87.47999842,89.8441,91.61,92.0003,94.77580063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,GEO,Individuals using the Internet (% of population),IT.NET.USER.ZS,6.079457629,7.526876845,8.26,10.01,20.07,26.9,31.52,36.94,43.3,44,47.56975964,58.00616157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghana,GHA,Individuals using the Internet (% of population),IT.NET.USER.ZS,1.831197461,2.723175973,3.85,4.27,5.44,7.8,9,10.6,15,25.51773743,31.44785241,34.66600065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
